Gene_symbol	Gene_Entrez_IDs
POLE2	5427
POLE3	54107
POLE	5426
POLG	5428
POLR1A	25885
POLR1B	84172
POLR1C	9533
POLR1E	64425
POLR2A	5430
POLR2B	5431
POLR2C	5432
POLR2D	5433
POLR2E	5434
POLR2G	5436
POLR2H	5437
POLR2I	5438
POLR2L	5441
POLR3A	11128
POLR3B	55703
POLR3C	10623
POLR3D	661
POLR3F	10621
POLR3H	171568
POLR3K	51728
POLRMT	5442
POP1	10940
POP4	10775
POP5	51367
POP7	10248
PPAN	56342
PPIL2	23759
PPIL4	85313
PPM1D	8493
PPP1CA	5499
PPP1R10	5514
PPP1R15B	84919
PPP1R35	221908
PPP1R7	5510
PPP1R8	5511
PPP2CA	5515
PPP2R1A	5518
PPP2R4	5524
PPP3R1	5534
PPP4C	5531
PPP6C	5537
PPRC1	23082
PPWD1	23398
PRC1	9055
PREB	10113
PRIM1	5557
PRKAR1A	5573
PRKDC	5591
PRKRA	8575
PRKRIP1	79706
PRKRIR	5612
PRMT1	3276
PRMT5	10419
PRPF18	8559
PRPF19	27339
PRPF31	26121
PRPF38B	55119
PRPF39	55015
PRPF3	9129
PRPF40A	55660
PRPF4B	8899
PRPF4	9128
PRPF6	24148
PRPF8	10594
PRSS33	260429
PSMA1	5682
PSMA2	5683
PSMA3	5684
PSMA4	5685
PSMA5	5686
PSMA7	5688
PSMB1	5689
PSMB2	5690
PSMB3	5691
PSMB4	5692
PSMB5	5693
PSMB6	5694
PSMB7	5695
PSMC2	5701
PSMC3	5702
PSMC4	5704
PSMC5	5705
PSMC6	5706
PSMD11	5717
PSMD12	5718
PSMD13	5719
PSMD14	10213
PSMD1	5707
PSMD2	5708
PSMD3	5709
PSMD4	5710
PSMD6	9861
PSMD7	5713
PSMD8	5714
PSMG1	8624
PSMG2	56984
PSMG3	84262
PSTK	118672
PTCD3	55037
PTK2	5747
PTPMT1	114971
PTPN11	5781
PTPN23	25930
PUF60	22827
PWP2	5822
QARS	5859
QRICH1	54870
QRSL1	55278
RABGGTA	5875
RABGGTB	5876
RAC1	5879
RACGAP1	29127
RAD21	5885
RAD51C	5889
RAD51D	5892
RAD51	5888
RAD9A	5883
RAE1	8480
RAF1	5894
RANBP2	5903
RANGAP1	5905
RAN	5901
RARS2	57038
RARS	5917
RBBP4	5928
RBBP5	5929
RBBP6	5930
RBBP8	5932
RBM12	10137
RBM14	10432
RBM17	84991
RBM19	9904
RBM25	58517
RBM28	55131
RBM33	155435
RBM34	23029
RBM48	84060
RBMX	27316
RCC1	1104
RCL1	10171
REXO2	25996
RFC1	5981
RFC2	5982
RFC3	5983
RFC4	5984
RFC5	5985
RFT1	91869
RFWD2	64326
RFWD3	55159
RHPN1	114822
RIC8A	60626
RICTOR	253260
RINT1	60561
RIOK1	83732
RIOK2	55781
RNASEH2A	10535
RNASEH2B	79621
RNF113A	7737
RNF168	165918
RNF20	56254
RNF40	9810
RNF8	9025
RNGTT	8732
RNMT	8731
RNPC3	55599
ROMO1	140823
RPA1	6117
RPA2	6118
RPAIN	84268
RPAP1	26015
RPAP2	79871
RPF1	80135
RPF2	84154
RPIA	22934
RPL10A	4736
RPL10	6134
RPL11	6135
RPL12	6136
RPL13	6137
RPL18	6141
RPL19	6143
RPL22L1	200916
RPL23A	6147
RPL27A	6157
RPL29	6159
RPL31	6160
RPL36A	6173
RPL38	6169
RPL3	6122
RPL4	6124
RPL7	6129
RPL8	6132
RPL9	6133
RPLP0	6175
RPLP2	6181
RPN1	6184
RPN2	6185
RPP14	11102
RPP21	79897
RPP25L	138716
RPP30	10556
RPP38	10557
RPP40	10799
RPS11	6205
RPS13	6207
RPS15A	6210
RPS18	6222
RPS19BP1	91582
RPS21	6227
RPS27	6232
RPS29	6235
RPS2	6187
RPS4X	6191
RPS5	6193
RPS9	6203
RPTOR	57521
RPUSD4	84881
RQCD1	9125
RRM1	6240
RRM2	6241
RRP12	23223
RRP15	51018
RRP1	8568
RRP36	88745
RRP9	9136
RRS1	23212
RSAD1	55316
RSL1D1	26156
RSRC2	65117
RTEL1	51750
RTF1	23168
RTFDC1	51507
RTTN	25914
RUVBL1	8607
RUVBL2	10856
SACM1L	22908
SAE1	10055
SAMD4B	55095
SAMHD1	25939
SAMM50	25813
SAP130	79595
SAP18	10284
SARS2	54938
SARS	6301
SART1	9092
SART3	9733
SBNO1	55206
SCD	6319
SCFD1	23256
SCGB1C1	147199
SCO1	6341
SCO2	9997
SCYL2	55681
SDAD1	55153
SDHA	6389
SEC13	6396
SEC16A	9919
SEC61A1	29927
SEC63	11231
SEH1L	81929
SELRC1	65260
SENP6	26054
SEPSECS	51091
SEPT7	989
SETD1A	9739
SF1	7536
SF3A1	10291
SF3A2	8175
SF3A3	10946
SF3B1	23451
SF3B2	10992
SF3B3	23450
SF3B4	10262
SF3B5	83443
SFPQ	6421
SFSWAP	6433
SGOL1	151648
SHFM1	7979
SHOC2	8036
SHQ1	55164
SIN3A	25942
SKA1	220134
SKA2	348235
SKA3	221150
SKIV2L2	23517
SKP2	6502
SLC25A10	1468
SLC25A26	115286
SLC25A28	81894
SLC25A45	283130
SLC30A9	10463
SLC35B1	10237
SLC39A7	7922
SLC51B	123264
SLC7A6OS	84138
SLMO2	51012
SLU7	10569
SMARCA5	8467
SMARCB1	6598
SMC1A	8243
SMC2	10592
SMC3	9126
SMC4	10051
SMC5	23137
SMC6	79677
SMG1	23049
SMG5	23381
SMG6	23293
SMNDC1	10285
SNAPC2	6618
SNAPC3	6619
SNAPC4	6621
SNCB	6620
SNF8	11267
SNIP1	79753
SNRNP200	23020
SNRNP25	79622
SNRNP35	11066
SNRNP48	154007
SNRNP70	6625
SNRPB	6628
SNRPC	6631
SNRPD2	6633
SNRPD3	6634
SNRPE	6635
SNRPF	6636
SNUPN	10073
SNW1	22938
SNX22	79856
SOD1	6647
SOD2	6648
SON	6651
SOS1	6654
SPATA5	166378
SPATA5L1	79029
SPC24	147841
SPC25	57405
SPCS3	60559
SPDL1	54908
SPRTN	83932
SPTSSA	171546
SRBD1	55133
SRCAP	10847
SRFBP1	153443
SRF	6722
SRP54	6729
SRP68	6730
SRP72	6731
SRPRB	58477
SRPR	6734
SRRM1	10250
SRRT	51593
SRSF11	9295
SRSF1	6426
SRSF2	6427
SRSF7	6432
SS18L2	51188
SSBP4	170463
SSRP1	6749
SSSCA1	10534
SSU72	29101
STRIP1	85369
STRN3	29966
STX18	53407
STX5	6811
SUDS3	64426
SUGT1	10910
SUPT4H1	6827
SUPT5H	6829
SUPT6H	6830
SUPV3L1	6832
SURF1	6834
SURF6	6838
SUV420H1	51111
SYMPK	8189
SYS1	90196
SYVN1	84447
TACC3	10460
TAF10	6881
TAF12	6883
TAF13	6884
TAF1A	9015
TAF1B	9014
TAF1C	9013
TAF1	6872
TAF2	6873
TAF4	6874
TAF5	6877
TAF6	6878
TAF6L	10629
TANGO6	79613
TARBP2	6895
TARS2	80222
TARS	6897
TBCA	6902
TBCC	6903
TBCD	6904
TBCE	6905
TBL3	10607
TBP	6908
TCP1	6950
TEFM	79736
TEN1	100134934
TERF2	7014
TEX10	54881
TFAM	7019
TFB1M	51106
THAP11	57215
THAP1	55145
THG1L	54974
THOC1	9984
THOC2	57187
THOC5	8563
THOC7	80145
TICRR	90381
TIGD3	220359
TIMELESS	8914
TIMM10	26519
TIMM13	26517
TIMM22	29928
TIMM23	100287932
TIMM44	10469
TIMM50	92609
TINF2	26277
TKT	7086
TLCD1	116238
TLDC2	140711
TLN1	7094
TMED10	10972
TMED2	10959
TMEM199	147007
TMEM258	746
TMEM41B	440026
TNPO1	3842
TNPO3	23534
TOE1	114034
TOMM40	10452
TONSL	4796
TOP1	7150
TOP2A	7153
TOP3A	7156
TOPBP1	11073
TP53RK	112858
TPR	7175
TPX2	22974
TRAIP	10293
TRAPPC11	60684
TRAPPC13	80006
TRAPPC1	58485
TRAPPC3	27095
TRAPPC4	51399
TRAPPC5	126003
TRAPPC8	22878
TRIAP1	51499
TRIM28	10155
TRIP13	9319
TRMT112	51504
TRMT5	57570
TRMT61A	115708
TRMT6	51605
